SURVID
2192
2471
1983
2346
2126
2419
2352
2273
2664
2625
2277
2685
2572
2455
2498
2249
2521
2768
2353
2289
2677
1863
2501
2799
2438
2886
2802
1993
1997
2390
2798
2838
2470
2222
1430
2422
2531
2619
2678
2876
2796
2474
1521
2884
2309
2617
2857
2493
2469
2496
1494
2494
2547
2238
2274
2450
2453
2454
2467
2464
2466
2533
2760
2747
2449
2582
2232
2259
2310
2284
2229
2400
2343
2566
1992
1559
2893
2230
2522
2354
2570
2436
1009
2895
2896
2306
2680
2706
2285
1823
2542
2221
1867
1812
1883
1468
422
1341
1698
2228
2053
