"","SURV","DEF"
"146",2570,"CG-CAHPS 12 Month"
"147",2344,"CG-CAHPS 12 Month"
"148",2678,"CG-CAHPS 12 Month"
"149",2748,"CG-CAHPS 12 Month"
"150",2876,"CG-CAHPS 12 Month"
"151",1715,"CG-CAHPS 12 Month"
"152",2789,"CG-CAHPS 12 Month"
"153",2796,"CG-CAHPS 12 Month"
"154",2474,"CG-CAHPS 12 Month"
"155",1521,"CG-CAHPS 12 Month"
"156",2436,"CG-CAHPS 12 Month"
"157",2884,"CG-CAHPS 12 Month"
"158",2309,"CG-CAHPS 12 Month"
"159",2617,"CG-CAHPS 12 Month"
"160",2857,"CG-CAHPS 12 Month"
"161",2493,"CG-CAHPS 12 Month"
"162",2469,"CG-CAHPS 12 Month"
"163",2496,"CG-CAHPS 12 Month"
"164",1494,"CG-CAHPS 12 Month"
"165",2015,"CG-CAHPS 12 Month"
"166",2494,"CG-CAHPS 12 Month"
"167",2547,"CG-CAHPS 12 Month"
"168",2571,"CG-CAHPS 12 Month"
"169",2238,"CG-CAHPS 12 Month"
"170",2274,"CG-CAHPS 12 Month"
"171",2450,"CG-CAHPS 12 Month"
"172",2453,"CG-CAHPS 12 Month"
"173",2454,"CG-CAHPS 12 Month"
"174",2467,"CG-CAHPS 12 Month"
"175",2464,"CG-CAHPS 12 Month"
"176",2466,"CG-CAHPS 12 Month"
"177",1009,"CG-CAHPS 12 Month"
"178",2895,"CG-CAHPS 12 Month"
"179",2896,"CG-CAHPS 12 Month"
"180",2765,"CG-CAHPS 12 Month"
"181",2542,"CG-CAHPS 12 Month"
"182",2533,"CG-CAHPS 12 Month"
"183",2760,"CG-CAHPS 12 Month"
"184",2880,"CG-CAHPS 12 Month"
"185",2710,"CG-CAHPS 12 Month"
"186",2747,"CG-CAHPS 12 Month"
"187",2306,"CG-CAHPS 12 Month"
"188",2632,"CG-CAHPS 12 Month"
"189",2329,"CG-CAHPS 12 Month"
"190",1255,"CG-CAHPS 12 Month"
"191",2828,"CG-CAHPS 12 Month"
"192",2266,"CG-CAHPS 12 Month"
"193",2543,"CG-CAHPS 12 Month"
"194",2839,"CG-CAHPS 12 Month"
"195",2278,"CG-CAHPS 12 Month"
"196",2680,"CG-CAHPS 12 Month"
"197",2706,"CG-CAHPS 12 Month"
"198",2743,"CG-CAHPS 12 Month"
"199",2784,"CG-CAHPS 12 Month"
"200",2449,"CG-CAHPS 12 Month"
"201",2424,"CG-CAHPS 12 Month"
